,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ID=FBgn0000003,581.5538981194264,0.5060477450901681,0.29261036684952313,1.7294252098402465,0.0837330213236088,0.39583293517181184
ID=FBgn0000008,198.640785310361,-0.22588656024721077,0.1911537039689903,-1.1817011941544953,0.23732428434567,0.6802318118437858
ID=FBgn0000017,8129.732193953694,-0.25770942284252835,0.24162401161410968,-1.066572072539331,0.2861651171409175,0.7292283268668621
ID=FBgn0000018,506.8390363131708,-0.049217073297412456,0.13893828625169002,-0.3542369394729294,0.723161322376386,0.945672498492197
ID=FBgn0000032,1198.7926842118727,-0.07050436908452416,0.1535354378362712,-0.4592058359823703,0.6460863600856592,0.9211359284884146
ID=FBgn0000042,103401.96498337586,0.32052207023270013,0.1536166803375724,2.086505642019821,0.03693284466878191,0.24367929332164848
ID=FBgn0000043,38809.12617838864,0.654730988000486,0.11327346474723299,5.780091475629376,7.466001953914689e-09,4.61912973345476e-07
ID=FBgn0000044,462.6299883158031,0.5980497640491306,1.1773180147891067,0.5079763976568891,0.6114698955720996,0.9121294015371952
ID=FBgn0000046,1586.9187911439433,0.38200876212391444,1.090877384794856,0.35018487636514045,,
ID=FBgn0000052,2862.483556757946,-0.1193323114615258,0.1470295614855254,-0.8116212158687129,0.4170090136470691,0.8299031269095135
ID=FBgn0000053,2439.4445361510307,0.30052938053561185,0.20889391974585492,1.4386698325218978,0.1502440904979805,0.5481133904758225
ID=FBgn0000057,828.1171804556068,0.016305594107686835,0.12018172161268992,0.13567449266732037,0.8920786131378927,0.9845318317653254
ID=FBgn0000063,481.41560361703944,0.2071721743445328,0.1225244144217914,1.690864431568232,0.09086269789535117,0.41391846052215076
ID=FBgn0000064,9706.664144492346,0.32139617078167804,0.09269499907991494,3.467243907134553,0.0005258245236141777,0.009680301229853203
ID=FBgn0000071,412.2719703774151,2.7363742051595508,0.20237624120124742,13.521222594694008,1.1721150271466212e-41,8.847124224902697e-39
ID=FBgn0000077,257.1498678016017,0.009056718761932847,0.16662697054462672,0.05435325825303437,0.9566537182788649,0.9947624106245598
ID=FBgn0000078,168.59757873323738,-1.3771945600092246,0.30096412589970045,-4.575942584160976,4.740805638965376e-06,0.00016339543818680665
ID=FBgn0000079,312.89122496949443,-1.0584143571456683,0.3652385963945498,-2.8978710563281047,0.0037570501951199476,0.0463564801667699
ID=FBgn0000083,6846.212532650299,-0.01362446605312977,0.15413953043063316,-0.08839047332677023,0.9295663328440105,0.9887084856930769
ID=FBgn0000084,2239.075719571151,-0.15555377118404212,0.21116297842686615,-0.7366526667832372,0.46133359819417596,0.8557743915383731
ID=FBgn0000097,3990.8391390416027,0.01455106792054469,0.1393476693966086,0.10442275772212398,0.9168338633558245,0.9845960770921454
ID=FBgn0000100,30655.504085854333,-0.13297948156402517,0.13489950951274207,-0.9857669760575701,0.3242474746143993,0.7625417377104857
ID=FBgn0000108,120.26179746620741,0.12737507604054124,0.32118575756266504,0.3965775973602742,0.691678975437355,0.9391604437131059
ID=FBgn0000109,164.2795325440578,-0.21374446013943338,0.3014499362641175,-0.7090545872670533,0.47829060278394187,0.8616734215596197
ID=FBgn0000114,1207.6302246005419,1.3161625728508894,1.4418186479349224,0.9128489042196765,,
ID=FBgn0000115,679.9802645452507,0.08771598401885536,0.11506529049814716,0.7623148878268186,0.44587209040071585,0.8478138534000039
ID=FBgn0000116,754.6530413422114,1.3198286964044637,0.24901372647020079,5.300224670797038,1.1566026369802996e-07,5.820024469284867e-06
ID=FBgn0000117,13097.345428620467,0.1684818713041294,0.11851879706711482,1.4215624480960725,0.15515331267695903,0.5568698069832082
ID=FBgn0000119,814.1375338334102,-0.07236242544087543,0.10812531160045409,-0.6692459366801171,0.5033386075643094,0.8689792426144486
ID=FBgn0000139,794.2432506477993,-0.4180012521721303,0.11726455250452947,-3.5646002414581726,0.0003644111644716614,0.007200459344063091
ID=FBgn0000140,1166.6171159315975,0.09045812483200409,0.14449225534644394,0.6260413377527804,0.5312878277694177,0.8795072774407944
